Year,Title,Studio
1944,Captain America,Republic Pictures
1951,Superman and the Mole Men,Lippert Pictures
1954,Stamp Day for Superman,United States Department of the Treasury
1966,Batman,20th Century Fox
1978,Superman,Dovemead Film Export A.G. / International Film Productions
1980,Superman II,Dovemead Film Export A.G. / International Film Productions
1982,Swamp Thing,Embassy Pictures
1983,Superman III,Canthatus Productions N.V. / Dovemead Films
1984,Supergirl,Artistry Ltd / Cantharus Productions / Pueblo Film Group
1986,Howard the Duck,Universal Studios
1987,Superman IV: The Quest for Peace,Golan-Globus / Cannon Films
1989,The Punisher,New World Pictures
1989,The Return of Swamp Thing,Lightyear Entertainment
1989,Batman,Warner Bros. / PolyGram Filmed Entertainment
1990,Captain America,21st Century Film Corporation
1992,Batman Returns,Warner Bros. / PolyGram Filmed Entertainment
1994,The Fantastic Four,New Horizons
1995,Batman Forever,Warner Bros. / PolyGram Filmed Entertainment
1997,Batman & Robin,Warner Bros. / PolyGram Filmed Entertainment
1997,Steel,Warner Bros. / DC Entertainment / QDe
1998,Blade,New Line Cinema & Marvel Studios
2000,X-Men,20th Century Fox & Marvel Studios
2002,Blade II,New Line Cinema & Marvel Studios
2002,Spider-Man,Columbia Pictures & Marvel Studios
2003,Daredevil,20th Century Fox & Marvel Studios
2003,X2: X-Men United,20th Century Fox & Marvel Studios
2003,Hulk,Universal Studios & Marvel Studios
2004,The Punisher,Lions Gate Entertainment & Marvel Studios
2004,Spider-Man 2,Columbia Pictures & Marvel Studios
2004,Blade: Trinity,New Line Cinema & Marvel Studios
2004,Catwoman,Warner Bros. / Village Roadshow Pictures / Di Novi Pictures / Frantic Films / Maple Shade Films
2005,Elektra,20th Century Fox & Marvel Studios
2005,Man-Thing,Lions Gate Entertainment
2005,Fantastic Four,20th Century Fox & Marvel Studios
2005,Constantine,Warner Bros. / Village Roadshow Pictures / The Donners' Company / Batfilm Productions / 3 Arts Entertainment
2005,Batman Begins,Warner Bros. / DC Entertainment / Legendary Pictures / Syncopy Inc. / Patalex III Productions
2006,X-Men: The Last Stand,20th Century Fox & Marvel Studios
2006,Superman Returns,Warner Bros. / DC Entertainment / Legendary Pictures / Bad Hat Harry Productions
2006,Superman II: The Richard Donner Cut,
2007,Ghost Rider,Columbia Pictures & Marvel Studios
2007,Spider-Man 3,Columbia Pictures & Marvel Studios
2007,Fantastic Four: Rise of the Silver Surfer,20th Century Fox & Marvel Studios
2008,Iron Man,Marvel Studios
2008,The Incredible Hulk,Marvel Studios
2008,Punisher: War Zone,Lions Gate Entertainment & Marvel Studios
